Company Name,link,website,stars,reviews
Champions Barbershop,https://www.google.com/maps/place/Champions+Barbershop/data=!4m7!3m6!1s0x89e4917acffbcaa3:0x20e776230522981c!8m2!3d41.9927792!4d-70.970678!16s%2Fg%2F11g07_1_39!19sChIJo8r7z3qR5IkRHJgiBSN25yA?authuser=0&hl=en&rclk=1,https://www.google.com/maps/reserve/m/QDP1hCmybck?source=pa&opi=79508299&hl=en-US&gei=N-64ZpG7NOqGptQPoPCDgAo&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dus%26pb%3D!4m12!1m3!1d23693.679243203987!2d-71.0344704!3d42.0708352!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!7i20!8i60!10b1!12m37!1m2!18b1!30b1!2m3!5m1!6e2!20e3!6m17!4b1!49b1!63m0!66b1!73m0!74i150000!75b1!85b1!89b1!91b1!110m0!114b1!149b1!166f1.35!183m0!196b1!201b1!10b1!12b1!13b1!14b1!16b1!17m1!3e1!20m3!5e2!6b1!14b1!94b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m42!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e9!2b1!3e2!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!2b1!4b1!9b0!22m2!1sLe64ZpO0HumJptQPxf69mAw!7e81!24m98!1m28!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m17!3b1!4b1!5b1!6b1!13b1!14b1!17b1!21b1!22b1!25b1!27m1!1b0!28b0!31b0!32b0!33m1!1b0!5m5!2b1!5b1!6b1!7b1!10b1!10m1!8e3!11m1!3e1!14m1!3b1!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m19!1m5!1b1!2b1!3b1!5b1!7b1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_reviews!6m1!1e1!9b1!89b1!103b1!113b1!117b1!122m1!1b1!125b0!126b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i768!1m6!1m2!1i974!2i0!2m2!1i1024!2i768!1m6!1m2!1i0!2i0!2m2!1i1024!2i20!1m6!1m2!1i0!2i748!2m2!1i1024!2i768!34m19!2b1!3b1!4b1!6b1!7b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!37m1!1e81!42b1!46m1!1e1!47m0!49m9!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!50m25!1m21!2m7!1u3!4sOpen%2Bnow!5e1!9s0ahUKEwiKmMKGte2HAxVIhIkEHb8XIGIQ_KkBCJwHKBc!10m2!3m1!1e1!2m7!1u2!4sTop%2Brated!5e1!9s0ahUKEwiKmMKGte2HAxVIhIkEHb8XIGIQ_KkBCJ0HKBg!10m2!2m1!1e1!3m1!1u3!3m1!1u2!4BIAE!2e2!3m1!3b1!59BQ2dBd0Fn!61b1!67m3!7b1!10b1!14b0!69i701%26q%3Dbarbers%26ech%3D3%26psi%3DLe64ZpO0HumJptQPxf69mAw.1723395630757.1,4.6,100
The Barber Shoppe,https://www.google.com/maps/place/The+Barber+Shoppe/data=!4m7!3m6!1s0x89e49be98daf90cb:0x1d960cef814354c4!8m2!3d42.0831725!4d-70.9244493!16s%2Fg%2F1tlgyzn6!19sChIJy5Cvjemb5IkRxFRDge8Mlh0?authuser=0&hl=en&rclk=1,,4.8,36
Roy’s Barbershop,https://www.google.com/maps/place/Roy%E2%80%99s+Barbershop/data=!4m7!3m6!1s0x89e483fc81a57de7:0x9a4a04053cd4c489!8m2!3d42.1321857!4d-71.0404138!16s%2Fg%2F11k3t2lvnb!19sChIJ532lgfyD5IkRicTUPAUESpo?authuser=0&hl=en&rclk=1,,4.8,5
At Ease Barber Shop,https://www.google.com/maps/place/At+Ease+Barber+Shop/data=!4m7!3m6!1s0x89e363348ed9aec3:0x7f6bc1e1e9fd44c7!8m2!3d42.2431782!4d-70.9995502!16s%2Fg%2F11fy2qcc62!19sChIJw67ZjjRj44kRx0T96eHBa38?authuser=0&hl=en&rclk=1,,4.8,138
Bostonian Barber Shop,https://www.google.com/maps/place/Bostonian+Barber+Shop/data=!4m7!3m6!1s0x89e49bbf6cc72bd3:0xa26214b12c0dd7b!8m2!3d42.0832673!4d-70.9230795!16s%2Fg%2F11bbx00m5c!19sChIJ0yvHbL-b5IkRe93AEkshJgo?authuser=0&hl=en&rclk=1,https://www.google.com/maps/reserve/m/TDcMPqlV0Q0?source=pa&opi=79508299&hl=en-US&gei=N-64ZpG7NOqGptQPoPCDgAo&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Den%26gl%3Dus%26pb%3D!4m12!1m3!1d23693.679243203987!2d-71.0344704!3d42.0708352!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!7i20!8i60!10b1!12m37!1m2!18b1!30b1!2m3!5m1!6e2!20e3!6m17!4b1!49b1!63m0!66b1!73m0!74i150000!75b1!85b1!89b1!91b1!110m0!114b1!149b1!166f1.35!183m0!196b1!201b1!10b1!12b1!13b1!14b1!16b1!17m1!3e1!20m3!5e2!6b1!14b1!94b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m42!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e9!2b1!3e2!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!2b1!4b1!9b0!22m2!1sLe64ZpO0HumJptQPxf69mAw!7e81!24m98!1m28!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m17!3b1!4b1!5b1!6b1!13b1!14b1!17b1!21b1!22b1!25b1!27m1!1b0!28b0!31b0!32b0!33m1!1b0!5m5!2b1!5b1!6b1!7b1!10b1!10m1!8e3!11m1!3e1!14m1!3b1!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m19!1m5!1b1!2b1!3b1!5b1!7b1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_reviews!6m1!1e1!9b1!89b1!103b1!113b1!117b1!122m1!1b1!125b0!126b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i768!1m6!1m2!1i974!2i0!2m2!1i1024!2i768!1m6!1m2!1i0!2i0!2m2!1i1024!2i20!1m6!1m2!1i0!2i748!2m2!1i1024!2i768!34m19!2b1!3b1!4b1!6b1!7b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!37m1!1e81!42b1!46m1!1e1!47m0!49m9!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!50m25!1m21!2m7!1u3!4sOpen%2Bnow!5e1!9s0ahUKEwiKmMKGte2HAxVIhIkEHb8XIGIQ_KkBCJwHKBc!10m2!3m1!1e1!2m7!1u2!4sTop%2Brated!5e1!9s0ahUKEwiKmMKGte2HAxVIhIkEHb8XIGIQ_KkBCJ0HKBg!10m2!2m1!1e1!3m1!1u3!3m1!1u2!4BIAE!2e2!3m1!3b1!59BQ2dBd0Fn!61b1!67m3!7b1!10b1!14b0!69i701%26q%3Dbarbers%26ech%3D3%26psi%3DLe64ZpO0HumJptQPxf69mAw.1723395630757.1,4.7,312
Danilo barbershop,https://www.google.com/maps/place/Danilo+barbershop/data=!4m7!3m6!1s0x89e37db478829ff3:0xf6d6431a5fc5ec4!8m2!3d42.2422971!4d-71.0037866!16s%2Fg%2F11v5j9pn68!19sChIJ85-CeLR944kRxF78pTFkbQ8?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/1022415_danilo-barbershop-llc_barber-shop_22350_quincy?hl=en-US&gei=N-64ZpG7NOqGptQPoPCDgAo&rwg_token=AJKvS9XWVQUvN5NnwMLtp3oEPfMQuKXhd4kC-lL3WIzyCUni9_eigRW6kwcUkMwgptyae-vnJYF-wugutnQbfSBPCTV8tLth5Q%3D%3D,5.0,8
Yankee Clipper Barbershop,https://www.google.com/maps/place/Yankee+Clipper+Barbershop/data=!4m7!3m6!1s0x89e491b4575647d1:0x8d8e02a5fba91c1f!8m2!3d41.9920654!4d-70.974495!16s%2Fg%2F1tcxw7sl!19sChIJ0UdWV7SR5IkRHxyp-6UCjo0?authuser=0&hl=en&rclk=1,,4.5,63
Canton Barber Shop,https://www.google.com/maps/place/Canton+Barber+Shop/data=!4m7!3m6!1s0x89e48129bfba8bf7:0x3a5ab727c81d7a7d!8m2!3d42.152284!4d-71.1484838!16s%2Fg%2F11y6ptx4pb!19sChIJ94u6vymB5IkRfXodyCe3Wjo?authuser=0&hl=en&rclk=1,,5.0,19
Nene's Barber Shop,https://www.google.com/maps/place/Nene%27s+Barber+Shop/data=!4m7!3m6!1s0x89e48798aa99e865:0x5e2394c84bfd83df!8m2!3d42.1316975!4d-71.1313293!16s%2Fg%2F11j1chyw_l!19sChIJZeiZqpiH5IkR34P9S8iUI14?authuser=0&hl=en&rclk=1,,4.9,110
Exclusive Barber Shop,https://www.google.com/maps/place/Exclusive+Barber+Shop/data=!4m7!3m6!1s0x89e47fd0feb03a41:0xda36740fa2fefe7d!8m2!3d42.1936208!4d-71.2009706!16s%2Fg%2F11ddwv5d6h!19sChIJQTqw_tB_5IkRff7-og90Nto?authuser=0&hl=en&rclk=1,,4.5,107
Barber Zone Two,https://www.google.com/maps/place/Barber+Zone+Two/data=!4m7!3m6!1s0x89e4625d479122bd:0xbe41d96ffd295f2!8m2!3d42.0272432!4d-71.2176304!16s%2Fg%2F1261l7vwm!19sChIJvSKRR11i5IkR8pXS_5Yd5As?authuser=0&hl=en&rclk=1,,3.4,5
Market9 Weymouth Barber Shop,https://www.google.com/maps/place/Market9+Weymouth+Barber+Shop/data=!4m7!3m6!1s0x89e363f0e0a6ff1b:0xaf706ba2cb0f9cb6!8m2!3d42.2431861!4d-70.9496477!16s%2Fg%2F11jpb0nc1h!19sChIJG_-m4PBj44kRtpwPy6JrcK8?authuser=0&hl=en&rclk=1,,5.0,66
International Barbershop,https://www.google.com/maps/place/International+Barbershop/data=!4m7!3m6!1s0x89e37f08dad0a269:0xcc0f536cd0af48a7!8m2!3d42.2593238!4d-71.1589856!16s%2Fg%2F1hg50ym_8!19sChIJaaLQ2gh_44kRp0iv0GxTD8w?authuser=0&hl=en&rclk=1,,4.4,119
Sharps Barber Shop,https://www.google.com/maps/place/Sharps+Barber+Shop/data=!4m7!3m6!1s0x89e37ef3a7e66e71:0xf282ded8d325e997!8m2!3d42.256061!4d-71.124242!16s%2Fg%2F1v3_3pxw!19sChIJcW7mp_N-44kRl-kl09jegvI?authuser=0&hl=en&rclk=1,https://squareup.com/appointments/book/d6f27f9e-2d93-4495-b322-a23328722d22/7CCTKW2XWDZAD/start?hl=en-US&gei=N-64ZpG7NOqGptQPoPCDgAo&rwg_token=AJKvS9XCVVglW90QxBZaS0XPyBgvufjElbhxdlurYPWSzNw7H8OFta-wEDn6_RIx3YDMPCjyjF3A3RlW5ai-B_oqXoOQ-LBubA%3D%3D,4.7,164
Lawson Barbershop Beauty,https://www.google.com/maps/place/Lawson+Barbershop+Beauty/data=!4m7!3m6!1s0x89e37c1ce4d888df:0x1f766774830d19c7!8m2!3d42.2711069!4d-71.0939007!16s%2Fg%2F1tv3ppvr!19sChIJ34jY5Bx844kRxxkNg3Rndh8?authuser=0&hl=en&rclk=1,,4.7,45
Sharp Barber Lounge,https://www.google.com/maps/place/Sharp+Barber+Lounge/data=!4m7!3m6!1s0x89e48d22bd812363:0xbc4be1395ab229c6!8m2!3d41.9376829!4d-71.0810167!16s%2Fg%2F11khzqbwdr!19sChIJYyOBvSKN5IkRximyWjnhS7w?authuser=0&hl=en&rclk=1,,5.0,113
Barber Shop At Cobb Corner,https://www.google.com/maps/place/Barber+Shop+At+Cobb+Corner/data=!4m7!3m6!1s0x89e4872ae1114cc5:0x95b3d3b4a790edf8!8m2!3d42.1382538!4d-71.1478955!16s%2Fg%2F1tgh3_hx!19sChIJxUwR4SqH5IkR-O2Qp7TTs5U?authuser=0&hl=en&rclk=1,,4.8,51
Conrad’s Barber Shop,https://www.google.com/maps/place/Conrad%E2%80%99s+Barber+Shop/data=!4m7!3m6!1s0x89e4f4a9814045c9:0x2bad5e20fd1e51c3!8m2!3d41.9014742!4d-71.0916997!16s%2Fg%2F1thssdl0!19sChIJyUVAgan05IkRw1Ee_SBerSs?authuser=0&hl=en&rclk=1,https://conradsbarbershop.setmore.com/?hl=en-US&gei=Oe64ZoSFEbWtptQP_sGW-QM,4.9,79
TOP CLASS CUTS BARBERSHOP,https://www.google.com/maps/place/TOP+CLASS+CUTS+BARBERSHOP/data=!4m7!3m6!1s0x89e37b94978c3a19:0xc22dd01667e9d1e8!8m2!3d42.294098!4d-71.0721316!16s%2Fg%2F11cncyfw69!19sChIJGTqMl5R744kR6NHpZxbQLcI?authuser=0&hl=en&rclk=1,,4.7,100
South Weymouth Barber shop,https://www.google.com/maps/place/South+Weymouth+Barber+shop/data=!4m7!3m6!1s0x89e31331eddcf175:0xb950499294c72e62!8m2!3d42.1684128!4d-70.9579983!16s%2Fg%2F11qnjb3_m2!19sChIJdfHc7TET44kRYi7HlJJJULk?authuser=0&hl=en&rclk=1,,4.8,118
EVOLUTION BARBERSHOP,https://www.google.com/maps/place/EVOLUTION+BARBERSHOP/data=!4m7!3m6!1s0x89e4938e21868855:0x8e29b2f0bb95a9db!8m2!3d41.8926414!4d-70.9085847!16s%2Fg%2F11kn15kppg!19sChIJVYiGIY6T5IkR26mVu_CyKY4?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/1244445_evolution-barbershop_barber-shop_22376_halifax?hl=en-US&gei=Oe64ZoSFEbWtptQP_sGW-QM&rwg_token=AJKvS9VVRj0q0_YOKV_Bh_D9CQie3P5cZePXz5ATOQCGSs8kgQnuuKi0Mij5il8IhQnJF5kIKoUszp_r2Etbie3OLKpmukKkfw%3D%3D,4.6,150
The Modern,https://www.google.com/maps/place/The+Modern/data=!4m7!3m6!1s0x89e4991a1256cf1d:0x2f1c181a890b63ba!8m2!3d42.0663664!4d-70.8723818!16s%2Fg%2F1tffqc5b!19sChIJHc9WEhqZ5IkRumMLiRoYHC8?authuser=0&hl=en&rclk=1,,4.8,69
Hair It Is Barbershop,https://www.google.com/maps/place/Hair+It+Is+Barbershop/data=!4m7!3m6!1s0x89e37bff2ccdc3f9:0x597026914bd55523!8m2!3d42.2838467!4d-71.0913754!16s%2Fg%2F11c6v8n892!19sChIJ-cPNLP9744kRI1XVS5EmcFk?authuser=0&hl=en&rclk=1,,4.7,76
Z Barbershop,https://www.google.com/maps/place/Z+Barbershop/data=!4m7!3m6!1s0x89e37ba65acd0e35:0xec901ee911528adf!8m2!3d42.3415866!4d-71.0802629!16s%2Fg%2F11fjs954d6!19sChIJNQ7NWqZ744kR34pSEekekOw?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/162627_z-barbershop_barber-shop_22412_boston?hl=en-US&gei=Oe64ZoSFEbWtptQP_sGW-QM&rwg_token=AJKvS9VVUk8aKxgel4JnXr-u2SdFE3CJhiO7gxmQ9OeLoTV6ej24kHEFfb2k-LlblFLeiuTtdABZTsyW2tusjT9B7l2wTxy5Pg%3D%3D,4.8,481
Brothers Barber shop,https://www.google.com/maps/place/Brothers+Barber+shop/data=!4m7!3m6!1s0x89e37bb02873cea9:0x3fc293682e8b9db3!8m2!3d42.2919623!4d-71.0715396!16s%2Fg%2F11rcpt5jq8!19sChIJqc5zKLB744kRs52LLmiTwj8?authuser=0&hl=en&rclk=1,https://booksy.com/en-us/1272941_brothers-barbershop_barber-shop_22412_boston?hl=en-US&gei=Oe64ZoSFEbWtptQP_sGW-QM&rwg_token=AJKvS9VwKPH4jMfXBOrrISwY9EB5tNxWbmSexWF19NR9LSS7Tr_ZHyDM_NFlyxaEka_nBZHkHVuYXrDseVon14q6Mqwwe4EDAg%3D%3D,4.6,43
Russo's Barbershop,https://www.google.com/maps/place/Russo%27s+Barbershop/data=!4m7!3m6!1s0x89e497b1ad7eba0f:0xac92fa51d331b52f!8m2!3d41.9962615!4d-70.9004974!16s%2Fg%2F11jk0dfnzh!19sChIJD7p-rbGX5IkRL7Ux01H6kqw?authuser=0&hl=en&rclk=1,,5.0,47
Pedro Alto Estilo Barber Shop,https://www.google.com/maps/place/Pedro+Alto+Estilo+Barber+Shop/data=!4m7!3m6!1s0x89e37dce6ee94a8b:0xef0a80a2f19a1e67!8m2!3d42.2755224!4d-71.0937748!16s%2Fg%2F11fnszpq6z!19sChIJi0rpbs5944kRZx6a8aKACu8?authuser=0&hl=en&rclk=1,,4.6,68
Eliot barber shop,https://www.google.com/maps/place/Eliot+barber+shop/data=!4m7!3m6!1s0x89e37bba067b6cbb:0x13cf6c19f771d195!8m2!3d42.3060057!4d-71.0671309!16s%2Fg%2F11dfsw9zbk!19sChIJu2x7Brp744kRldFx9xlszxM?authuser=0&hl=en&rclk=1,,4.8,80
Cuba Estilo Barbershop,https://www.google.com/maps/place/Cuba+Estilo+Barbershop/data=!4m7!3m6!1s0x89e37bfdf5159875:0xfe15215081a610ce!8m2!3d42.3132655!4d-71.079552!16s%2Fg%2F11fmfg6pp2!19sChIJdZgV9f1744kRzhCmgVAhFf4?authuser=0&hl=en&rclk=1,,4.7,53
Craftsmen Barbershop Shave Parlor,https://www.google.com/maps/place/Craftsmen+Barbershop+Shave+Parlor/data=!4m7!3m6!1s0x89e463fade8f7e67:0x43c1a41f86f11e03!8m2!3d42.0307489!4d-71.219003!16s%2Fg%2F11sz3djp47!19sChIJZ36P3vpj5IkRAx7xhh-kwUM?authuser=0&hl=en&rclk=1,https://craftsmenbarbershop.setmore.com/?hl=en-US&gei=Oe64ZoSFEbWtptQP_sGW-QM,5.0,45
